season,fpl_code,element,player_name,position,team_name,understat_id,understat_player_name,mapping_status,confidence,source
2026-27,219847,26,Havertz,FWD,Arsenal,5220,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,219924,259,Diop,DEF,Ipswich Town,3203,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,220237,447,Botman,DEF,Newcastle,8635,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,220362,153,Disasi,DEF,Chelsea,6885,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,220566,402,Rodrigo,MID,Man City,2496,,mapped,MEDIUM,smartplayfpl_mapping_release
2026-27,220583,180,Woolfenden,DEF,Coventry City,12746,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,220627,332,Justin,DEF,Leeds,7753,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,221389,468,John,GKP,Nott'm Forest,14017,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,221399,342,Harrison,MID,Leeds,8720,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,221466,498,Senesi,DEF,Spurs,10864,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,221632,500,Romero,DEF,Spurs,7218,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,221820,419,Martinez,DEF,Man Utd,10802,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,222018,307,Johnson,DEF,Ipswich Town,6424,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,222531,480,Gibbs-White,MID,Nott'm Forest,6857,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,222625,317,Hirst,FWD,Ipswich Town,8563,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,222683,70,Kluivert,MID,Bournemouth,6963,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,222694,328,Struijk,DEF,Brighton,8717,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,223094,411,Haaland,FWD,Man City,8260,,mapped,HIGH,smartplayfpl_mapping_release
2026-27,223340,12,Saka,MID,Arsenal,7322,,mapped,HIGH,smartplayfpl_mapping_release
